id,sentence,subject_entity,object_entity,label
0,"인스타그램은 계정 추천에서 COVID-19 계정을 제거할 것이며, 신뢰할 수 있는 보건 기구에 의해 포스팅된 것이 아니라면 탐색기에서 일부 COVID-19 관련 콘텐츠를 제거하기 위해 노력하고 있다고 했다.","{'word': 'COVID-19', 'start_idx': 15, 'end_idx': 22, 'type': 'POH'}","{'word': '인스타그램', 'start_idx': 0, 'end_idx': 4, 'type': 'ORG'}",no_relation
1,"사용자는 이전에 지오태깅된 사용자의 지도 사진을 볼 수 있었는데, 이 기능은 낮은 사용률을 이유로 2016년 9월에 제거되었다.","{'word': '지도', 'start_idx': 20, 'end_idx': 21, 'type': 'POH'}","{'word': '2016년 9월', 'start_idx': 55, 'end_idx': 62, 'type': 'DAT'}",no_relation
2,이 기능은 2017년 4월에 사용자가 저장된 게시물로 컬렉션을 구성할 수 있도록 업데이트되었다.,"{'word': '컬렉션', 'start_idx': 30, 'end_idx': 32, 'type': 'POH'}","{'word': '2017년 4월', 'start_idx': 6, 'end_idx': 13, 'type': 'DAT'}",no_relation
3,"2013년 10월, 인스타그램은 비디오와 이미지 광고가 미국의 사용자들을 위한 피드에 곧 등장할 것이라고 발표했으며, 2013년 11월 1일 첫 번째 이미지 광고가 상영되었다.","{'word': '이미지 광고', 'start_idx': 84, 'end_idx': 89, 'type': 'POH'}","{'word': '2013년 10월', 'start_idx': 0, 'end_idx': 8, 'type': 'DAT'}",no_relation
4,비디오 광고는 거의 1년 후인 2014년 10월 30일에 이어졌다.,"{'word': '비디오 광고', 'start_idx': 0, 'end_idx': 5, 'type': 'POH'}","{'word': '2014년 10월 30일', 'start_idx': 17, 'end_idx': 29, 'type': 'DAT'}",no_relation
5,"또한, 한 줄의 사진들은 모바일 레이아웃에 맞춰 5장의 사진이 아닌 3장의 사진을 나열하도록 했다.","{'word': '사진', 'start_idx': 9, 'end_idx': 10, 'type': 'POH'}","{'word': '5장', 'start_idx': 27, 'end_idx': 28, 'type': 'NOH'}",no_relation
6,"2017년 2월부터는 한 게시물에 최대 10장의 사진이나 비디오를 넣을 수 있으며, 오른쪽에서 왼쪽으로 스와이프하면서 볼 수 있다.","{'word': '사진', 'start_idx': 27, 'end_idx': 28, 'type': 'POH'}","{'word': '10장', 'start_idx': 22, 'end_idx': 24, 'type': 'NOH'}",no_relation
7,사용자는 최대 15명에게 사진을 보낼 수 있다.,"{'word': '사진', 'start_idx': 14, 'end_idx': 15, 'type': 'POH'}","{'word': '15명', 'start_idx': 8, 'end_idx': 10, 'type': 'NOH'}",no_relation
8,"교육 인구 통계와 관련하여, 대학 교육을 받은 응답자는 23%로 인스타그램에서 가장 활발한 것으로 나타났다. 뒤를 이어 대졸자가 18%, 고졸 이하 사용자가 15%를 차지한다.","{'word': '교육 인구 통계', 'start_idx': 0, 'end_idx': 7, 'type': 'POH'}","{'word': '18%', 'start_idx': 72, 'end_idx': 74, 'type': 'NOH'}",no_relation
9,2010년 7월 16일 공동창업자인 케빈 시스트롬이 첫 사진을 올린 이래 2016년 6월 21일 사용자가 5억 명을 돌파했다.,"{'word': '사진', 'start_idx': 31, 'end_idx': 32, 'type': 'POH'}","{'word': '5억 명', 'start_idx': 59, 'end_idx': 62, 'type': 'NOH'}",no_relation
10,"이용자 중 3억 명은 하루에 한 차례 이상 사용하며 매일 평균 9,500만 개의 사진과 영상이 올라온다.","{'word': '영상', 'start_idx': 49, 'end_idx': 50, 'type': 'POH'}","{'word': '9,500만 개', 'start_idx': 35, 'end_idx': 42, 'type': 'NOH'}",no_relation
11,인스타그램 사용자의 80% 이상이 미국 이외의 지역이다.,"{'word': '미국', 'start_idx': 19, 'end_idx': 20, 'type': 'POH'}","{'word': '80%', 'start_idx': 11, 'end_idx': 13, 'type': 'NOH'}",no_relation
12,매출 중 3분의 1을 모바일 광고에서 벌어들인 것으로 추정된다.,"{'word': '매출', 'start_idx': 0, 'end_idx': 1, 'type': 'POH'}","{'word': '3분의 1', 'start_idx': 5, 'end_idx': 9, 'type': 'NOH'}",no_relation
13,사각형이었던 프로필 사진이 원형으로 바뀌었다.,"{'word': '프로필 사진', 'start_idx': 7, 'end_idx': 12, 'type': 'VIS'}","{'word': '원형', 'start_idx': 15, 'end_idx': 16, 'type': 'POH'}",vis : specification
14,"8월, 인스타그램은 사용자들이 댓글로 더 쉽게 상호작용할 수 있도록 댓글을 스레드 형태로 구성하기 시작할 것이라고 발표했다.","{'word': '댓글', 'start_idx': 38, 'end_idx': 39, 'type': 'INV'}","{'word': '스레드 형태', 'start_idx': 42, 'end_idx': 47, 'type': 'POH'}",inv : property
