id,sentence,subject_entity,object_entity,label
2,이 기능은 2017년 4월에 사용자가 저장된 게시물로 컬렉션을 구성할 수 있도록 업데이트되었다.,컬렉션/POH,2017년 4월/DAT,no_relation
14,"8월, 인스타그램은 사용자들이 댓글로 더 쉽게 상호작용할 수 있도록 댓글을 스레드 형태로 구성하기 시작할 것이라고 발표했다.",댓글/INV,스레드 형태/POH,inv : property
33,인스타그램이 특화 기능을 갖춘 독립형 어플 3개를 개발해 출시했다.,인스타그램/ORG,독립형 어플/INV,org : produce
58,인스타그램은 2018년 4월 선택 시 피사체의 초점을 맞추면서 사진이나 영상의 배경을 부드럽게 흐리게 하는 초상화 모드인 '포커스 모드' 버전을 출시했다.,'포커스 모드' 버전/INV,2018년 4월/DAT,inv : rdpd
62,2021년 3월에는 새로운 어린이 안전 정책의 일환으로 성인들이 팔로우를 하지 않는 18세 이하 사용자들에게 메시지를 보낼 수 없도록 하는 기능이 추가됐다.,성인들이 팔로우를 하지 않는 18세 이하 사용자들에게 메시지를 보낼 수 없도록 하는 기능/INV,2021년 3월/DAT,inv : rdpd
76,"출시 당시 인스타그램 사용자 6억 명 중 80%가 미국 밖에 있는 것으로 알려졌으며, 앞서 언급한 기능이 생중계된 가운데 인스타그램도 오프라인에서 더 많은 기능을 이용할 수 있도록 하겠다는 의사를 밝혔으며, ""iOS 버전을 탐색 중""이라고 밝혔다.",인스타그램/INV,6억 명/NOH,inv : nou
78,이들 인스타그램 사용자 중 24%가 하루에도 몇 번씩 앱을 사용한다고 답했다.,앱/INV,인스타그램 사용자 중 24%/NOH,inv : nou
102,"인스타그램은 2012년 6월 인기 있는 사진, 인근 장소에서 찍은 사진, 검색 등을 표시하는 앱 내부 탭인 '탐색'을 선보였다.",인스타그램/INV,탐색/INV,inv : comp
111,인스타그램은 최근 홈 페이지에 릴스 버튼을 도입했다.,홈 페이지/INV,릴스 버튼/INV,inv : comp
113,"인스타그램은 지난 7월부터 필터, 스티커, 해시태그 등 인스타그램 효과를 완성한 사진과 동영상을 보내 스토리에 반응할 수 있도록 했다.",인스타그램 효과/INV,스티커/INV,inv : comp
119,"이후 안드로이드 앱은 두 가지 중요한 업데이트를 받았다. 먼저 2014년 3월, 앱의 파일 크기를 절반으로 줄이고 성능을 향상시킨 뒤 2017년 4월, 사용자가 인터넷 연결 없이 콘텐츠를 보고 상호작용할 수 있는 오프라인 모드를 추가했다.",안드로이드 앱/INV,오프라인 모드/INV,inv : func
127,인스타그램은 또한 게시물 추천 기능을 추가했다.,인스타그램/INV,게시물 추천/INV,inv : func
130,"인스타그램은 2021년 3월, 4명이 한꺼번에 라이브 방송을 할 수 있는 새로운 기능을 출시했다.",인스타그램/INV,4명이 한꺼번에 라이브 방송을 할 수 있는 새로운 기능/INV,inv : func
151,"인스타그램은 2017년부터 계정의 중요도를 낮추는 기능(shadowbanning)을 시행해, 불필요한 해시태그(해시태그 과다 사용 포함)을 생성해 검색결과와 앱 탐색란에 게시물이 뜨지 못하게 하고 있다.",인스타그램/INV,계정의 중요도를 낮추는 기능/INV,inv : func
167,CNN에 따르면 이 거래는 페이스북의 예정된 공모 직전에 종료되었다고 한다.,페이스북/ORG,CNN/ORG,no_relation
169,"그러나 이용자들은 트위터와 레딧에 불만을 전하며 변화에 잘 대응하지 못했고, 뉴욕타임스는 특히 ""릴스가 틱톡 복제품으로서 모든 면에서 실패할 뿐만 아니라, 혼란스럽고, 답답하고, 탐색이 불가능하다""며 릴스를 외면했다.",트위터/ORG,레딧/ORG,no_relation
170,"다만 인스타그램의 모회사인 페이스북이 이런 내용을 접한 이용자들에게 해당 자료를 보고하라고 하는 등 2013년 폭로를 계기로 불법 마약 거래 사건이 새롭게 발생했고, 이때 '전용팀'이 해당 정보를 검토한다.",인스타그램/ORG,페이스북/ORG,no_relation
173,이 문제는 2011년 10월 28일 국가인권위원회가 방송통신위원회에 조사를 권고한 상태이다.,국가인권위원회/ORG,방송통신위원회/ORG,no_relation
187,"2012년 9월 6일, 인스타그램과 페이스북 사이의 거래는 공식적으로 현금 3억 달러와 주식 2,300만 주라는 매수 가격으로 종결되었다.",인스타그램/ORG,3억 달러/NOH,no_relation
190,"재설계설은 더 버지(The Verge)가 정보원으로부터 스크린샷을 받은 지난 4월부터 처음 나돌기 시작했지만, 당시 인스타그램 대변인은 ""개념일 뿐""이라고 알렸다.",인스타그램/ORG,스크린샷/POH,no_relation
195,"인스타그램은 2019년 8월에도 앱에서 '팔로우' 탭 제거 시범을 보이기 시작했는데, 이 탭에서는 사용자가 팔로우하는 사람들의 글과 댓글을 볼 수 있었다.",인스타그램/ORG,앱/INV,no_relation
208,이후 인스타그램 라이브가 현재 방영 중인 '최고의' 인스타그램 라이브 비디오의 알고리즘 큐레이션 페이지를 표시하기 위해 2016년 11월 탭이 다시 확장되었다.,인스타그램 라이브/INV,2016년 11월/DAT,no_relation
232,"이 작업이 모두 완료되면 팝업은 사용자의 추가 검색을 거부하고 사용자에게 로그인을 요구한다. 2020년 9월, 이 제한은 로그인한 사용자를 pr로 포함하도록 확장되었다.",팝업/INV,사용자의 추가 검색/INV,no_relation
256,초기에는 단지 사진 공유 서비스였던 인스타그램이 2013년 6월에 15초 비디오 공유를 통합하였다.,사진/POH,비디오/POH,no_relation
268,서로 팔로우하는 사용자는 사진 및 동영상과 함께 개인 메시지를 보낼 수 있다.,사진 및 동영상/POH,사용자/PER,no_relation
295,내부 디스플레이 비율은 21:9이다.,내부 디스플레이/VIS,21:9/NOH,vis : specification
297,"작은 중앙 핀의 양쪽에 있는 첫 번째 핀과 두 번째 핀은 미러 핀과 연속성을 가지는데,",첫 번째 핀/VIS,미러 핀과 연속성/POH,vis : property
299,이 장치는 양쪽에 배터리가 각각 한개로 총 두개가 있으며 용량은 총 4380mAh이다.,양쪽에 배터리/VIS,총 4380mAh/NOH,vis : property
318,2012년 7월 11일에 애플이 레티나 디스플레이가 탑재된 맥북 에어와 맥북 프로 새 모델을 공개하면서 새로운 맥세이프 버전을 공개했다.,애플/ORG,맥북 에어/VIS,org : produce
319,삼성 갤럭시 Z 플립()은 삼성전자가 개발한 안드로이드 기반 폴더블 스마트폰이다.,삼성전자/ORG,갤럭시 Z 플립/VIS,org : produce
327,1986년 경영분쟁에 의해 애플에서 나온 이후 NeXT 컴퓨터를 창업하여 새로운 개념의 운영 체제를 개발했다.,NeXT 컴퓨터/ORG,운영 체제/INV,org : produce
335,그의 악화된 건강상태로 인하여 2011년 8월 24일 애플은 스티브 잡스가 최고경영책임자(CEO)를 사임하고 최고운영책임자(COO)인 팀 쿡이 새로운 CEO를 맡는다고 밝혔다.,애플/ORG,팀 쿡/PER,org : employees
342,맥세이프()은 2006년 1월 10일에 애플이 공개한 자기부착형식으로 만들어진 맥북전용 전원 커넥터이다.,맥세이프/VIS,2006년 1월 10일/DAT,vis : rdpd
356,모바일 와이맥스와 3G LTE(Long Term Evolution)의 초기 버전과 같은 4G 이전 기술들은 각각 2006년과 2009년에 상용화되었고 흔히 4G와 혼동된다.,모바일 와이맥스/INV,2006년/DAT,inv : rdpd
357,모바일 와이맥스와 3G LTE(Long Term Evolution)의 초기 버전과 같은 4G 이전 기술들은 각각 2006년과 2009년에 상용화되었고 흔히 4G와 혼동된다.,3G LTE/INV,2009년/DAT,inv : rdpd
359,2017년 12월의 3GPP 릴리스 15가 5G의 가장 일반적인 정의이다.,5G/INV,2017년 12월/DAT,inv : rdpd
364,2011년 12월 16일 구글은 구글 뮤직을 도입하였다.,구글 뮤직/INV,2011년 12월 16일/DAT,inv : rdpd
365,"음악 스트리밍 서비스는 구글 2011 I/O에 ""뮤직 베타""로 공개하였다.",뮤직 베타/INV,2011/DAT,inv : rdpd
366,"구독형 게임 서비스로, 미국에서 2019년 9월 23일 처음으로 출시했다.",구독형 게임 서비스/INV,2019년 9월 23일/DAT,inv : rdpd
387,"플렉스 모드(Flex mode)라는 이름의 화면 분할 기능이 유튜브, 구글 듀오와 같은 특정 앱에서 지원된다.",플렉스 모드/INV,Flex mode/INV,inv : an
395,"때문에 한 기지국 안에 많은 사용자가 몰리게 되면 속도가 떨어질 수 밖에 없지만, 5G는 빔 포밍기술(주파수를 특정 공간(구역)으로 집중시키는 기술)을 사용하여 특정사용자에게 주파수 전체를 할당할 수 있으며 이를 통해 한 기지국에 많은 사용자가 몰리더라도 모든 사용자가 최고의 속도를 서비스 받을 수 있게 된다.",5G/INV,빔 포밍기술/INV,inv : ft
400,"아래의 파생형들은 삼성 페이를 기반으로 하는 MST 결제 서비스로, 당연히 삼성 페이를 지원하는 스마트폰만 이용할 수 있다.",MST 결제 서비스/INV,삼성 페이/INV,inv : ft
401,"현재는 대부분 맥북 모델에는 USB-C로 대체되어 쓰이지 않지만, 당시 맥사용자들 사이에는 큰 호응을 받았다.",맥북/VIS,USB-C/VIS,vis : comp
405,2012년 7월 11일에 애플이 레티나 디스플레이가 탑재된 맥북 에어와 맥북 프로 새 모델을 공개하면서 새로운 맥세이프 버전을 공개했다.,맥북 에어/VIS,레티나 디스플레이/VIS,vis : comp
429,"Z 플립은 안드로이드 10과 삼성의 One UI 2.1 스킨이 미리 설치되어 있으며 최신 버전은 안드로이드 11 기반 One UI 3.1.1이다. 플렉스 모드(Flex mode)라는 이름의 화면 분할 기능이 유튜브, 구글 듀오와 같은 특정 앱에서 지원된다. 또 멀티 윈도우 기능을 활용할 수 있어 두 개의 앱을 동시에 구동할 수 있다.",Z 플립/VIS,멀티 윈도우/INV,vis : func
435,"단, 삼성 페이의 오프라인 결제와 온라인 결제는 지원하는 카드사가 서로 다를 수 있어서 사전에 확인해야 한다.",삼성 페이/INV,온라인 결제/INV,inv : func
440,구글은 안드로이드의 지원 폴더블 장치의 OEM(주문자 상표에 의한 제품 생산자)들과 함께 작업할 것이라고 언급하였다.,구글/ORG,OEM/ORG,no_relation
462,"또한 구글 체크아웃뿐만 아니라, 각 이통사 과금 시스템과의 연동을 적극적으로 검토하겠다고 밝힌 적이 있으나, 여전히 미국 등 일부 국가를 제외하면 지지부진한 편이다.",미국/ORG,구글 체크아웃/INV,no_relation
471,그러다 2020년에 유튜브 뮤직으로 통합되면서 사라졌다.,유튜브 뮤직/INV,2020년/DAT,no_relation
492,이는 삼성 페이(mini 포함) 앱 내에서 삼성 페이 제휴 삼성 체크카드 등을 신청할 경우에도 예외 없이 적용한다.,삼성 페이/INV,삼성 체크카드/VIS,no_relation
